"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_successfull_get_session_parts",""
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","1","tests.integration.activity_serv","test_delete_non_existen_activity_it","","","","test_delete_non_existing_entertainment_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_should_succesfull_get_existed_accommodation_by_id",""
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","1","tests.integration.user_serv","test_get_non_existent_user_it","","","","test_get_user_by_id_not_found",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_user_service","","","","test_should_succesfull_get_existed_user_by_id",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","2","tests.integration.user_serv","test_add_existent_user_it","","","","test_add_duplicate_user_raises",""
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","1","tests.integration.session_serv","test_delete_non_existen_session_it","","","","test_delete_non_existing_session_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_venue_service","","","","test_add_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_successfull_update_session",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestLodgingMother","","","test_add_hotel_using_mother","Позитивный тест: добавление размещения через ObjectMother."
"passed","Thu Feb 26 23:04:47 UTC 2026","Thu Feb 26 23:04:47 UTC 2026","1","tests.unit","test_m_user_service","","","","test_should_succesfull_update_existed_user_by_id",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","1","tests.unit","test_m_program_service","","","","test_service_should_throw_exception_at_get_by_venues",""
"passed","Thu Feb 26 23:05:50 UTC 2026","Thu Feb 26 23:05:50 UTC 2026","9","tests.integration.session_serv","test_get_by_id_session_it","","","","test_get_session_by_id_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_link_lodgings_error",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_venue_service","","","","test_should_succesfull_update_existed_city_by_id",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","2","tests.integration.event_serv","test_update_non_existen_event_it","","","","test_add_event_duplicate_id",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","2","tests.integration.activity_serv","test_update_activity_it","","","","test_update_existing_entertainment",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","3","tests.integration.session_serv","test_delete_session_it","","","","test_delete_session_success",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","2","tests.integration.session_serv","test_add_existen_session_it","","","","test_add_session_with_existing_program_succeeds",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_add_failure",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_activity_service","","","","test_get_by_id_failure",""
"passed","Thu Feb 26 23:04:47 UTC 2026","Thu Feb 26 23:04:47 UTC 2026","502","tests.unit","test_m_user_service","","","","test_should_succesfull_login_existed_user_with_right_password",""
"passed","Thu Feb 26 23:05:57 UTC 2026","Thu Feb 26 23:05:57 UTC 2026","3","tests.integration.user_serv","test_add_user_it","","","","test_add_user_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestLodgingBuilder","","","test_delete_lodging_via_builder_not_found","Негативный тест: удаление несуществующего размещения через Builder."
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_lodging_service","","","","test_add_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","57","tests.unit","test_builders","TestUserBuilder","","","test_admin_user_via_mother","Позитивный тест: создание администратора через ObjectMother."
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","3","tests.integration.session_serv","test_update_route_it","","","","test_update_session_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_successfull_change_transport",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_delete_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_get_activities_by_event_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_activity_service","","","","test_service_should_throw_exception_at_delete_not_existed_entertainment",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","7","tests.unit","test_m_user_service","","","","test_jwt_token_cycle",""
"failed","Thu Feb 26 23:07:12 UTC 2026","Thu Feb 26 23:07:13 UTC 2026","675","tests.e2e","test_mvp_event_flow_e2e","TestMVPEventManagementFlow","","","test_full_event_management_scenario",""
"passed","Thu Feb 26 23:05:57 UTC 2026","Thu Feb 26 23:05:57 UTC 2026","5","tests.integration.event_serv","test_add_event_it","","","","test_add_event_duplicate_id",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","3","tests.integration.user_serv","test_delete_non_existen_user_it","","","","test_delete_non_existent_user",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","1","tests.unit","test_m_program_service","","","","test_should_successfull_get_existed_program_by_id",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_get_by_id_failure",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","0","tests.unit","test_m_program_service","","","","test_service_should_throw_exception_at_update_not_existed_program",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_add_event_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_update_event_not_found",""
"passed","Thu Feb 26 23:05:51 UTC 2026","Thu Feb 26 23:05:51 UTC 2026","1","tests.integration.venue_serv","test_delete_non_existing_venue_it","","","","test_delete_non_existing_venue_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","2","tests.unit","test_m_event_service","","","","test_get_by_id_not_found",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_activity_service","","","","test_add_success",""
"passed","Thu Feb 26 23:05:58 UTC 2026","Thu Feb 26 23:05:58 UTC 2026","2","tests.integration.user_serv","test_get_list_it","","","","test_get_user_list_returns_all",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestVenueBuilder","","","test_get_custom_venue_via_builder","Позитивный тест: получение площадки, созданной через Builder."
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestEventBuilder","","","test_completed_event_via_mother","Позитивный тест: создание завершённого мероприятия через ObjectMother."
"passed","Thu Feb 26 23:07:11 UTC 2026","Thu Feb 26 23:07:12 UTC 2026","341","tests.e2e","test_add_venue_e2e","TestCityManagementE2E","","","test_login_and_add_city_api",""
